Query Text,Doc ID,Rating
Automotive,0,1
cds,0,1
consumer,0,1
derivatives,0,1
insurance,0,1
coin,0,1
H.4.1,0,1
mortgage,0,1
moodys,0,1
NAIC,0,1
NAICS,0,1
OPEC,0,1
swaps,0,1
CHIPS,0,1
liquidity,0,1
FBO,0,1
BHC,0,1
DF Record Number,0,1
2314,0,1
Y-11,0,1
7100-0003,0,1
BHCF,0,1
FR Y-11,0,1
FR 2004,0,1
WRDS,0,1
Vehicle,0,1
Petroleum,0,1
mortages,0,1
Bloomberg,0,1
BLS,0,1
surveillance,0,1
labor,0,1
kmv,0,1
markit,0,1
gdp,0,1
haver,0,1
GSIB,0,1
Payments,0,1
Micro,0,1
Macro,0,1
risk,0,1
loan,0,1
index,0,1
